ID,ARTISTE, PAYS,TITRE,ANNÉE ,ÉTIQUETTES,STYLE (S),TOP 250 TEXTES FRANÇAIS ,AUTEURS,LIENS ÉCOUTE STREAMING 
,,,,,,,,,
 , , , , , , ,,,
top-250-1,47Soul,Palestine / Jordanie,Shamstep,2015,Indépendant,Dabke électro-arabique,"Par une nuit froide de septembre 2015, ce groupe relativement méconnu (à l'époque) a livré une performance glorieuse et enflammée à La Vitrola, bien que deux membres (la moitié du groupe) aient été interdits d'entrée au Canada à cause de refus de visa. La musique qu'ils ont jouée ce soir-là, tous les morceaux de cet EP 5 titres sans prétention, est un témoignage de la folie des frontières géopolitiques et culturelles. Tous les membres du groupe ont des racines palestiniennes mais possèdent des passeports différents. Leur mise à jour électro-synthétisée de dabke, qu'ils ont appelé shamstep, contient un puissant message de récupération et de résistance. ",Parker Mah,https://open.spotify.com/playlist/4iWAGMIMd0KVKyazVkR3SA
top-250-2,A Tribe Called Quest  ,États-Unis ,We Got It From Here...Thank You For Your Service ,2016,Epic / SME,Hip-hop ,"Le jour du Souvenir 2016, l'un des groupes phares du hip-hop faisait un grand retour, puis des adieux définitifs, 18 ans après le décès subit de Phife Dawg, membre clé de la formation. Enregistrée l'année précédant sa mort et la suivante, cette lettre d'amour à Phife et aux fans a aussitôt obtenu la faveur du public comme des critiques. On y retrouve le groupe comme à ses beaux jours. Hommage intemporel au hip-hop et document irremplaçable de cette période, il compte parmi les événements marquants de l'histoire du hip-hop au 21e siècle.",Darcy Macdonald,https://open.spotify.com/album/3WvQpufOsPzkZvcSuynCf3?nd=1 
top-250-3,A Tribe Called Red,Canada,Nation II Nation,2013,Tribal Spirit Music,"Ethno Tronica, électro/Pow wow-step","L'album révolutionnaire du groupe d’Ottawa A Tribe Called Red, et son dernier avec les membres originaux,  pose des incantations powwow sur des rythmes trap aux basses heavy, moombahton et dancehall. Plus mature que le premier album, Nation II Nation a propulsé le groupe, et la culture autochtone, sous les feux de la rampe internationale. L'acte de indigéniser tout l'espace du club - et avec lui les genres musicaux urbains jusqu'alors déconnectés de manière accablante - est un acte politique que le groupe a porté avec grâce et responsabilité. ",Parker Mah,https://open.spotify.com/album/6pk7Ov4ts49vheVQHWmUlp
top-250-4,Abd Al Malik,France,Château Rouge,2010,Barclay/Universal,"Slam, hip-hop","Avec ce quatrième album, Abd Al Malik entame la nouvelle décennie en s'éloignant habilement du slam, sans toutefois trop s'en écarter. Aidé de Gonzales à la réalisation, le MC de Strasbourg enrobe sa poésie de textures électro pop, hip-hop et même ska qui viennent soutenir des mélodies souvent entêtantes. La recette est parfaitement maîtrisée, un exercice de style tout aussi éclaté qu’éclatant, et qui demeure toujours aussi pertinent dix ans après sa sortie. ",Patrick Baillargeon,https://www.deezer.com/fr/album/1663857
top-250-5,AfrotroniX,Canada/ Québec/ Tchad,NomadiX,2017,autoproduction ,"Blues saharien, afro-électro, afro-pop","Aussi chanteur et guitariste du groupe H'Sao, le Tchadien d’origine et Montréalais d’adoption Caleb Rimtobaye a tenté l'aventure afro futuriste en hybridant le blues originel transsaharien, d’abord actualisé par les musiciens touaregs du Mali, du Niger, de l’Algérie et du Maroc. Exprimé en langue sara, son projet AfrotroniX est une synthèse allumée de ces musiques du désert et autres rythmes typiques de l’Afrique de l’Ouest ainsi que différentes déclinaisons de la mouvance afro-électro, de plus en plus considérable sur tout le continent noir. AfrotroniX n’est que le début de de cette aventure palpitante.",Alain Brunet,https://open.spotify.com/album/3rX1canXFRWqevE2XG6rTw 
top-250-6,Alaclair Ensemble,Canada / Québec,Le sens des paroles,2018,Disques 7ième Ciel,Hip-hop,"Au cours de la décennie qui se conclut, suggérons qu’Alaclair Ensemble fut le vaisseau amiral du rap franglophone d'Amérique, prescripteur de l’esthétique, du flow, du beatmaking, de la présence sur scène.  Cinq albums furent mis de l'avant par Maybe Watson, Vlooper, KenLo Craqnuques, Claude Bégin, Robert Nelson, Eman et Mash. Sorti l'an dernier, Le sens des paroles peut être considéré comme l’album de la maturité, tant pour ses qualités ludiques, ses composantes parodiques, ses chroniques décalées, que pour la soul/R&B, le trap, l’afro-cubain, les breakbeats, les traitements informatiques et le bel équilibre entre pouvoir fédérateur et recherche formelle.",Alain Brunet,https://open.spotify.com/album/0GNDdLfBY9hHJK4x4BU6Ck?autoplay=true&v=L
top-250-7,Alaclair Ensemble,Canada / Québec,4.99,2010,Indépendant,"Hip-hop, rap","Le collectif rap en a fait des plus sophistiqués depuis, mais ce glorieux premier jet demeure spécial. Né spontanément de la rencontre de rappeurs et de beatmakers individuellement accomplis, c’est un petit big bang duquel un son, un style et un discours ont jailli. Alaclair a ramené dans le hip-hop francophone un dosage de fun et d’intelligence qu’on ne croyait plus possible, en plein dans le langage familier et coloré qu’on cherchait. Avouons-le, la plupart des propositions rap d’ici ont durement passé le test du temps. 4,99, lui, est un roc. ",Olivier Lalande,https://alaclairensemble.bandcamp.com/album/499
top-250-8,Alain Lefèvre / Alexander Shelley / Orchestre du CNA ,Canada,Aux frontières de nos rêves,2018,Analekta,"Classique, contemporain","Ce n'est pas pour Ravel ou Rimski-Korsakov que l'on achètera ce double album, mais bien pour l'époustouflant Concerto de l'asile de Walter Boudreau. Version éclatée en mille variations de sa Valse de l'asile, le concerto met en vedette un Alain Lefèvre extatique, qui traverse ces 44 minutes hallucinées avec du génie au bout de chaque doigt. Alexander Shelley est tout aussi remarquable devant l'Orchestre du Centre national des Arts, équilibrant les dynamiques avec une maîtrise parfaite. Boudreau et Lefèvre transposent la poésie de Gauvreau dans un néo-romantisme aux couleurs fulgurantes. ",Réjean Beaucage,https://www.analekta.com/albums/aux-frontieres-de-nos-reves-alain-lefevre-orchestre-centre-national-arts/
